cycle,entity_type,entity_id,entity_name,entity_subtype,party_label,party_score_dem,party_score_rep,lean_dem_amt,lean_rep_amt,mixed_amt,unknown_amt,lean_measure_total,coverage_total,coverage_ratio,classification_method,classification_source,scope
2024,committee,C00724203,SOMOS PAC,O,D,1.0,0.0,20409809,30339,0.0,0.0,20440148,20440148,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00693838,"MORE JOBS, LESS GOVERNMENT",O,R,0.0,1.0,114297,19784845,0.0,0.0,19899142,19899142,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00744920,CFFE PAC,W,D,1.0,0.0,19289623,0,0.0,0.0,19289623,19289623,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00886614,YOUR COMMUNITY PAC,O,D,1.0,0.0,19112806,0,0.0,0.0,19112806,19112806,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00842344,BEST OF AMERICA PAC,O,R,0.0,1.0,0,19009953,0.0,0.0,19009953,19009953,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00487470,CLUB FOR GROWTH ACTION,O,Mixed,0.4226215940077825,0.5773784059922176,7280902,9947044,0.0,0.0,17227946,17227946,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00870592,FIX WASHINGTON PAC,O,R,0.0,1.0,0,16595198,0.0,0.0,16595198,16595198,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00752691,ONE FOR ALL COMMITTEE,O,D,1.0,0.0,16350474,0,0.0,0.0,16350474,16350474,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00834630,BUCKEYE VALUES PAC,O,R,0.0,1.0,1389493,14439551,0.0,0.0,15829044,15829044,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00840546,TRUST IN THE MISSION PAC,V,R,0.0,1.0,0,14980824,0.0,0.0,14980824,14980824,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00418897,VOTEVETS,W,D,1.0,0.0,13398318,455149,0.0,0.0,13853467,13853467,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00528554,RJC VICTORY FUND,O,R,0.0,1.0,385758,12671326,0.0,0.0,13057084,13057084,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00811166,THE SENTINEL ACTION FUND,O,R,0.0,1.0,235910,11718341,0.0,0.0,11954251,11954251,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C90022278,"NEWLIN, DAN",I,R,0.0,1.0,0,11687111,0.0,0.0,11687111,11687111,1.0,candidate_facing_committee_activity,ie_spending,all_committees
